------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              4.05115
               -1.48,              4.02734
               -1.47,              4.00371
               -1.46,              3.98027
               -1.45,              3.95702
               -1.44,              3.93396
               -1.43,              3.91108
               -1.42,              3.88757
               -1.41,              3.86589
                -1.4,              3.84358
               -1.39,              3.82144
               -1.38,               3.7995
               -1.37,              3.77774
               -1.36,              3.75617
               -1.35,              3.73476
               -1.34,              3.71355
               -1.33,              3.69251
               -1.32,              3.67163
               -1.31,              3.65094
                -1.3,              3.63042
               -1.29,              3.61006
               -1.28,              3.58987
               -1.27,              3.56991
               -1.26,              3.54998
               -1.25,              3.53027
               -1.24,              3.51071
               -1.23,               3.4913
               -1.22,              3.47203
               -1.21,              3.45292
                -1.2,              3.43393
               -1.19,              3.41507
               -1.18,              3.39635
               -1.17,              3.37775
               -1.16,              3.35927
               -1.15,               3.3409
               -1.14,              3.32283
               -1.13,              3.30448
               -1.12,              3.28643
               -1.11,              3.26845
                -1.1,              3.25057
               -1.09,              3.23276
               -1.08,              3.21502
               -1.07,              3.19735
               -1.06,              3.17973
               -1.05,              3.16217
               -1.04,              3.14464
               -1.03,              3.12715
               -1.02,              3.10969
               -1.01,              3.09224
                  -1,               3.0748
               -0.99,              3.05735
               -0.98,              3.03996
               -0.97,              3.02243
               -0.96,              3.00511
               -0.95,              2.98738
               -0.94,              2.96977
               -0.93,              2.95211
               -0.92,              2.93436
               -0.91,              2.91652
                -0.9,              2.89857
               -0.89,              2.88055
               -0.88,               2.8623
               -0.87,              2.84394
               -0.86,              2.82542
               -0.85,              2.80672
               -0.84,              2.78781
               -0.83,              2.76868
               -0.82,               2.7493
               -0.81,              2.72965
                -0.8,               2.7097
               -0.79,              2.68943
               -0.78,               2.6688
               -0.77,              2.64779
               -0.76,              2.62635
               -0.75,              2.60446
               -0.74,              2.58206
               -0.73,              2.55911
               -0.72,              2.53558
               -0.71,              2.51141
                -0.7,              2.48655
               -0.69,              2.46093
               -0.68,              2.43451
               -0.67,              2.40722
               -0.66,                2.379
               -0.65,              2.34977
               -0.64,              2.31948
               -0.63,              2.28806
               -0.62,              2.25545
               -0.61,              2.22159
                -0.6,              2.18644
               -0.59,              2.14997
               -0.58,              2.11216
               -0.57,              2.07302
               -0.56,              2.03259
               -0.55,              1.99092
               -0.54,              1.94809
               -0.53,              1.90422
               -0.52,              1.85944
               -0.51,              1.81388
                -0.5,              1.76772
               -0.49,              1.72111
               -0.48,              1.67422
               -0.47,               1.6272
               -0.46,              1.58018
               -0.45,               1.5333
               -0.44,              1.48667
               -0.43,              1.44038
               -0.42,              1.39455
               -0.41,              1.34921
                -0.4,              1.30444
               -0.39,              1.26029
               -0.38,               1.2168
               -0.37,                1.174
               -0.36,              1.13193
               -0.35,              1.09061
               -0.34,              1.05005
               -0.33,              1.01027
               -0.32,             0.971285
               -0.31,             0.933112
                -0.3,             0.895744
               -0.29,             0.859202
               -0.28,             0.823487
               -0.27,             0.788605
               -0.26,             0.754556
               -0.25,             0.721347
               -0.24,             0.688971
               -0.23,             0.657451
               -0.22,             0.626766
               -0.21,             0.596925
                -0.2,             0.567927
               -0.19,              0.53977
               -0.18,             0.512453
               -0.17,             0.485975
               -0.16,             0.460334
               -0.15,             0.435526
               -0.14,             0.411548
               -0.13,              0.38839
               -0.12,             0.366077
               -0.11,             0.344552
                -0.1,             0.323849
               -0.09,             0.303952
               -0.08,             0.284852
               -0.07,             0.266543
               -0.06,             0.249016
               -0.05,             0.232262
               -0.04,             0.216271
               -0.03,             0.201032
               -0.02,             0.186535
               -0.01,             0.172765
                   0,              0.15971
                0.01,             0.147355
                0.02,             0.135684
                0.03,              0.12468
                0.04,             0.114325
                0.05,             0.104599
                0.06,            0.0954829
                0.07,            0.0869545
                0.08,            0.0789914
                0.09,            0.0715705
                 0.1,            0.0646678
                0.11,            0.0582588
                0.12,            0.0523187
                0.13,            0.0468228
                0.14,            0.0417464
                0.15,            0.0370656
                0.16,             0.032757
                0.17,            0.0287985
                0.18,            0.0251693
                0.19,            0.0218502
                 0.2,             0.018824
                0.21,            0.0160755
                0.22,            0.0135896
                0.23,            0.0113527
                0.24,            0.0093573
                0.25,           0.00759788
                0.26,           0.00606917
                0.27,           0.00476486
                0.28,           0.00367565
                0.29,           0.00278758
                 0.3,           0.00208139
                0.31,           0.00153336
                0.32,           0.00111739
                0.33,          0.000807567
                0.34,          0.000580361
                0.35,          0.000415823
                0.36,           0.00029796
                0.37,          0.000214486
                0.38,          0.000156291
                0.39,          0.000116855
                 0.4,          9.17228e-05
                0.41,          7.81146e-05
                0.42,          7.46704e-05
                0.43,           8.1353e-05
                0.44,          9.95098e-05
                0.45,          0.000132121
                0.46,          0.000184278
                0.47,          0.000263972
                0.48,          0.000383301
                0.49,           0.00056029
                 0.5,          0.000821574
                0.51,           0.00120632
                0.52,           0.00177192
                0.53,           0.00260218
                0.54,            0.0038189
                0.55,           0.00559809
                0.56,           0.00819183
                0.57,            0.0119567
                0.58,             0.017388
                0.59,             0.025157
                 0.6,            0.0361412
                0.61,            0.0514338
                0.62,              0.07231
                0.63,             0.100135
                0.64,             0.136217
                0.65,             0.181633
                0.66,             0.237095
                0.67,             0.302893
                0.68,             0.378932
                0.69,             0.464825
                 0.7,             0.560012
                0.71,             0.663854
                0.72,             0.775713
                0.73,             0.894987
                0.74,              1.02114
                0.75,              1.15371
                0.76,              1.29229
                0.77,              1.43655
                0.78,              1.58622
                0.79,              1.74107
                 0.8,              1.90092
                0.81,              2.06563
                0.82,              2.23508
                0.83,              2.40919
                0.84,              2.58788
                0.85,              2.77113
                0.86,               3.0886
                0.87,              3.39198
                0.88,              3.69658
                0.89,              4.00688
                 0.9,              4.32509
                0.91,              4.65267
                0.92,              4.99061
                0.93,              5.33974
                0.94,              5.70056
                0.95,              6.07362
                0.96,              6.45915
                0.97,              6.85732
                0.98,              7.26821
                0.99,              7.69172
                   1,              8.12763
                1.01,              8.57563
                1.02,              9.03525
                1.03,              9.50596
                1.04,              9.98714
                1.05,              10.4781
                1.06,              10.9781
                1.07,              11.4864
                1.08,              12.0022
                1.09,              12.5247
                 1.1,              13.0533
                1.11,              13.5872
                1.12,              14.1257
                1.13,              14.6683
                1.14,              15.2142
                1.15,              15.7631
                1.16,              16.3143
                1.17,              16.8675
                1.18,              17.4223
                1.19,              17.9781
                 1.2,              18.5349
                1.21,              19.0921
                1.22,              19.6496
                1.23,              20.2071
                1.24,              20.7644
                1.25,              21.3212
                1.26,              21.8774
                1.27,              22.4328
                1.28,              22.9872
                1.29,              23.5405
                 1.3,              24.0923
                1.31,              24.6425
                1.32,              25.1909
                1.33,              25.7371
                1.34,              26.2807
                1.35,              26.8211
                1.36,              27.3578
                1.37,              27.8898
                1.38,               28.416
                1.39,              28.9348
                 1.4,              29.4444
                1.41,              29.9426
                1.42,              30.4267
                1.43,              30.8938
                1.44,               31.341
                1.45,              31.7657
                1.46,              32.1659
                1.47,              32.5402
                1.48,              32.8884
                1.49,              33.2108

