------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              9.74833
               -1.48,              9.69061
               -1.47,              9.63279
               -1.46,              9.57457
               -1.45,              9.51625
               -1.44,              9.45779
               -1.43,              9.39917
               -1.42,              9.34042
               -1.41,              9.28154
                -1.4,              9.22253
               -1.39,              9.16366
               -1.38,              9.10422
               -1.37,              9.04492
               -1.36,              8.98552
               -1.35,              8.92604
               -1.34,              8.86648
               -1.33,              8.80685
               -1.32,              8.74715
               -1.31,              8.68739
                -1.3,              8.62756
               -1.29,              8.56768
               -1.28,              8.50775
               -1.27,               8.4478
               -1.26,              8.38776
               -1.25,               8.3277
               -1.24,              8.26762
               -1.23,               8.2075
               -1.22,              8.14736
               -1.21,              8.08721
                -1.2,              8.02704
               -1.19,              7.96687
               -1.18,              7.90678
               -1.17,              7.84654
               -1.16,              7.78639
               -1.15,              7.72625
               -1.14,              7.66608
               -1.13,              7.60606
               -1.12,              7.54602
               -1.11,              7.48603
                -1.1,               7.4261
               -1.09,              7.36623
               -1.08,              7.30643
               -1.07,              7.24671
               -1.06,              7.18708
               -1.05,              7.12755
               -1.04,              7.06814
               -1.03,              7.00885
               -1.02,              6.94968
               -1.01,              6.89065
                  -1,              6.83179
               -0.99,              6.77309
               -0.98,              6.71458
               -0.97,              6.65624
               -0.96,              6.59812
               -0.95,              6.54021
               -0.94,              6.48254
               -0.93,               6.4251
               -0.92,              6.36787
               -0.91,              6.31104
                -0.9,              6.25443
               -0.89,              6.19812
               -0.88,               6.1421
               -0.87,              6.08643
               -0.86,              6.03107
               -0.85,              5.97605
               -0.84,              5.92142
               -0.83,              5.86712
               -0.82,              5.81319
               -0.81,              5.75963
                -0.8,              5.70647
               -0.79,              5.65368
               -0.78,              5.60127
               -0.77,              5.54927
               -0.76,              5.49762
               -0.75,              5.44638
               -0.74,              5.39551
               -0.73,              5.34505
               -0.72,              5.29494
               -0.71,              5.24524
                -0.7,              5.19587
               -0.69,              5.14688
               -0.68,              5.09825
               -0.67,              5.04997
               -0.66,                5.002
               -0.65,              4.95439
               -0.64,                4.907
               -0.63,              4.85992
               -0.62,              4.81306
               -0.61,               4.7664
                -0.6,               4.7199
               -0.59,               4.6735
               -0.58,              4.62714
               -0.57,              4.58077
               -0.56,               4.5343
               -0.55,              4.48766
               -0.54,              4.44076
               -0.53,              4.39351
               -0.52,              4.34578
               -0.51,              4.29747
                -0.5,              4.24845
               -0.49,              4.19858
               -0.48,              4.14776
