------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
                -1.5,          1.27524e-06
               -1.49,          1.26539e-06
               -1.48,          1.25553e-06
               -1.47,          1.24567e-06
               -1.46,          1.23581e-06
               -1.45,          1.22595e-06
               -1.44,          1.21608e-06
               -1.43,           1.2062e-06
               -1.42,          1.19633e-06
               -1.41,          1.18644e-06
                -1.4,          1.17656e-06
               -1.39,          1.16667e-06
               -1.38,          1.15677e-06
               -1.37,          1.14687e-06
               -1.36,          1.13697e-06
               -1.35,          1.12706e-06
               -1.34,          1.11715e-06
               -1.33,          1.10723e-06
               -1.32,           1.0973e-06
               -1.31,          1.08737e-06
                -1.3,          1.07744e-06
               -1.29,          1.06749e-06
               -1.28,          1.05755e-06
               -1.27,          1.04759e-06
               -1.26,          1.03763e-06
               -1.25,          1.02766e-06
               -1.24,          1.01768e-06
               -1.23,           1.0077e-06
               -1.22,          9.97711e-07
               -1.21,          9.87712e-07
                -1.2,          9.77705e-07
               -1.19,          9.67689e-07
               -1.18,          9.57664e-07
               -1.17,           9.4763e-07
               -1.16,          9.37586e-07
               -1.15,          9.27532e-07
               -1.14,          9.17467e-07
               -1.13,          9.07392e-07
               -1.12,          8.97304e-07
               -1.11,          8.87205e-07
                -1.1,          8.77093e-07
               -1.09,          8.66968e-07
               -1.08,          8.56829e-07
               -1.07,          8.46676e-07
               -1.06,          8.36507e-07
               -1.05,          8.26323e-07
               -1.04,          8.16121e-07
               -1.03,          8.05903e-07
               -1.02,          7.95665e-07
               -1.01,          7.85408e-07
                  -1,           7.7513e-07
               -0.99,           7.6483e-07
               -0.98,          7.54508e-07
               -0.97,           7.4416e-07
               -0.96,          7.33787e-07
               -0.95,          7.23386e-07
               -0.94,          7.12956e-07
               -0.93,          7.02494e-07
               -0.92,          6.91999e-07
               -0.91,          6.81468e-07
                -0.9,          6.70898e-07
               -0.89,          6.60288e-07
               -0.88,          6.49632e-07
               -0.87,          6.38929e-07
               -0.86,          6.28174e-07
               -0.85,          6.17362e-07
               -0.84,          6.06489e-07
               -0.83,          5.95549e-07
               -0.82,          5.84535e-07
               -0.81,           5.7344e-07
                -0.8,          5.62255e-07
               -0.79,           5.5097e-07
               -0.78,          5.39574e-07
               -0.77,          5.28052e-07
               -0.76,          5.16387e-07
               -0.75,           5.0456e-07
               -0.74,          4.92544e-07
               -0.73,          4.80309e-07
               -0.72,          4.67813e-07
               -0.71,          4.55004e-07
                -0.7,           4.4181e-07
               -0.69,           4.2813e-07
               -0.68,          4.13814e-07
               -0.67,          3.98623e-07
               -0.66,          3.82134e-07
               -0.65,          3.63449e-07
               -0.64,          3.39775e-07
               -0.63,                    0
               -0.62,                    0
               -0.61,                    0
                -0.6,                    0
               -0.59,                    0
               -0.58,                    0
               -0.57,                    0
               -0.56,                    0
               -0.55,                    0
               -0.54,                    0
               -0.53,                    0
               -0.52,                    0
               -0.51,                    0
                -0.5,                    0
               -0.49,                    0
               -0.48,                    0
               -0.47,                    0
               -0.46,                    0
               -0.45,                    0
               -0.44,                    0
               -0.43,                    0
               -0.42,                    0
               -0.41,                    0
                -0.4,                    0
               -0.39,                    0
               -0.38,                    0
               -0.37,                    0
               -0.36,                    0
               -0.35,                    0
               -0.34,                    0
               -0.33,                    0
               -0.32,                    0
               -0.31,          2.13593e-07
                -0.3,           2.1012e-07
               -0.29,          2.06589e-07
               -0.28,          2.02996e-07
               -0.27,          1.99338e-07
               -0.26,          1.95612e-07
               -0.25,          1.91813e-07
               -0.24,          1.87938e-07
               -0.23,          1.83981e-07
               -0.22,          1.79937e-07
               -0.21,            1.758e-07
                -0.2,          1.71564e-07
               -0.19,           1.6722e-07
               -0.18,           1.6276e-07
               -0.17,          1.58174e-07
               -0.16,          1.53452e-07
               -0.15,          1.48579e-07
               -0.14,          1.43541e-07
               -0.13,           1.3832e-07
               -0.12,          1.32894e-07
               -0.11,          1.27236e-07
                -0.1,          1.21315e-07
               -0.09,           1.1509e-07
               -0.08,          1.08508e-07
               -0.07,            1.015e-07
               -0.06,          9.39708e-08
               -0.05,          8.57833e-08
               -0.04,          7.67271e-08
               -0.03,          6.64477e-08
               -0.02,          5.42544e-08
               -0.01,          3.83637e-08
                   0,          1.33131e-15
                0.01,          3.33445e-08
                0.02,          4.50298e-08
                0.03,          5.31751e-08
                0.04,           5.9536e-08
                0.05,          6.47874e-08
                0.06,          6.92734e-08
                0.07,          7.31974e-08
                0.08,          7.66923e-08
                0.09,          7.98508e-08
                 0.1,          8.27416e-08
                0.11,          8.54177e-08
                0.12,          8.79221e-08
                0.13,          9.02913e-08
                0.14,          9.25573e-08
                0.15,          9.47499e-08
                0.16,          9.68977e-08
                0.17,          9.90297e-08
                0.18,          1.01176e-07
                0.19,          1.03371e-07
                 0.2,           1.0565e-07
                0.21,          1.08057e-07
                0.22,          1.10645e-07
                0.23,          1.13473e-07
                0.24,           1.1662e-07
                0.25,          1.20182e-07
                0.26,          1.24279e-07
                0.27,          1.29072e-07
                0.28,          1.34765e-07
                0.29,          1.41637e-07
                 0.3,          1.50057e-07
                0.31,          1.60536e-07
                0.32,          1.73773e-07
                0.33,          1.90739e-07
                0.34,          2.12766e-07
                0.35,           2.4165e-07
                0.36,          2.79709e-07
                0.37,          3.29757e-07
                0.38,          3.95096e-07
                0.39,          4.81346e-07
                 0.4,          5.92546e-07
                0.41,          7.26629e-07
                0.42,           8.8429e-07
                0.43,          1.06647e-06
                0.44,          1.27389e-06
                0.45,           1.5071e-06
                0.46,          1.76636e-06
                0.47,          2.05176e-06
                0.48,          2.36311e-06
                0.49,          2.70002e-06
                 0.5,          3.06189e-06
                0.51,          3.44797e-06
                0.52,          3.85736e-06
                0.53,          4.28906e-06
                0.54,          4.74203e-06
                0.55,          5.21517e-06
                0.56,          5.70739e-06
                0.57,          6.21759e-06
                0.58,          6.74472e-06
                0.59,          7.28775e-06
                 0.6,          7.84571e-06
                0.61,          8.41765e-06
                0.62,          9.00272e-06
                0.63,          9.60009e-06
                0.64,           1.0209e-05
                0.65,          1.08287e-05
                0.66,          1.14585e-05
                0.67,          1.20979e-05
                0.68,          1.27462e-05
                0.69,          1.34029e-05
                 0.7,          1.40676e-05
                0.71,          1.47397e-05
