------------------------------------------------------------
 pH vs. Vt
------------------------------------------------------------
pH, Vt(V)
                   2,                -0.64
                   3,                -0.64
                   4,                -0.63
                   5,                -0.61
                   6,                -0.58
                   7,                -0.54
                   8,                -0.51
                   9,                -0.48
                  10,                -0.46
                  11,                -0.46
                  12,                -0.45

