------------------------------------------------------------
 transfer characteristics
------------------------------------------------------------
Vg (V), Ids (A)
               -1.49,              9.16366
               -1.48,              9.10422
               -1.47,              9.04492
               -1.46,              8.98552
               -1.45,              8.92604
               -1.44,              8.86648
               -1.43,              8.80685
               -1.42,              8.74715
               -1.41,              8.68739
                -1.4,              8.62756
               -1.39,              8.56768
               -1.38,              8.50775
               -1.37,               8.4478
               -1.36,              8.38776
               -1.35,               8.3277
               -1.34,              8.26762
               -1.33,               8.2075
               -1.32,              8.14736
               -1.31,              8.08721
                -1.3,              8.02704
               -1.29,              7.96687
               -1.28,              7.90678
               -1.27,              7.84654
               -1.26,              7.78639
               -1.25,              7.72625
               -1.24,              7.66608
               -1.23,              7.60606
               -1.22,              7.54602
               -1.21,              7.48603
                -1.2,               7.4261
               -1.19,              7.36623
               -1.18,              7.30643
               -1.17,              7.24671
               -1.16,              7.18708
               -1.15,              7.12755
               -1.14,              7.06814
               -1.13,              7.00885
               -1.12,              6.94968
               -1.11,              6.89065
                -1.1,              6.83179
               -1.09,              6.77309
               -1.08,              6.71458
               -1.07,              6.65624
               -1.06,              6.59812
               -1.05,              6.54021
               -1.04,              6.48254
               -1.03,               6.4251
               -1.02,              6.36787
               -1.01,              6.31104
                  -1,              6.25443
               -0.99,              6.19812
               -0.98,               6.1421
               -0.97,              6.08643
               -0.96,              6.03107
               -0.95,              5.97605
               -0.94,              5.92142
               -0.93,              5.86712
               -0.92,              5.81319
               -0.91,              5.75963
                -0.9,              5.70647
               -0.89,              5.65368
               -0.88,              5.60127
               -0.87,              5.54927
               -0.86,              5.49762
               -0.85,              5.44638
               -0.84,              5.39551
               -0.83,              5.34505
               -0.82,              5.29494
               -0.81,              5.24524
                -0.8,              5.19587
               -0.79,              5.14688
               -0.78,              5.09825
               -0.77,              5.04997
               -0.76,                5.002
               -0.75,              4.95439
               -0.74,                4.907
               -0.73,              4.85992
               -0.72,              4.81306
               -0.71,               4.7664
                -0.7,               4.7199
               -0.69,               4.6735
               -0.68,              4.62714
               -0.67,              4.58077
               -0.66,               4.5343
               -0.65,              4.48766
               -0.64,              4.44076
               -0.63,              4.39351
               -0.62,              4.34578
               -0.61,              4.29747
                -0.6,              4.24845
               -0.59,              4.19858
               -0.58,              4.14776
               -0.57,               4.0958
               -0.56,              4.04253
               -0.55,              3.98773
               -0.54,              3.93117
               -0.53,              3.87272
               -0.52,              3.81206
               -0.51,                3.749
                -0.5,              3.68333
               -0.49,              3.61488
               -0.48,               3.5435
               -0.47,              3.46915
               -0.46,              3.39184
               -0.45,              3.31167
               -0.44,              3.22884
               -0.43,              3.14366
               -0.42,              3.05647
               -0.41,              2.96768
                -0.4,               2.8777
               -0.39,              2.78694
               -0.38,              2.69577
               -0.37,              2.60453
               -0.36,              2.51351
               -0.35,              2.42296
               -0.34,              2.33308
               -0.33,              2.24406
               -0.32,              2.15603
               -0.31,               2.0691
                -0.3,              1.98339
               -0.29,              1.89897
               -0.28,              1.81592
               -0.27,               1.7343
               -0.26,              1.65417
               -0.25,              1.57558
               -0.24,              1.49858
               -0.23,              1.42321
               -0.22,              1.34952
               -0.21,              1.27754
                -0.2,              1.20732
               -0.19,              1.13889
               -0.18,              1.07228
               -0.17,              1.00755
               -0.16,             0.944706
               -0.15,             0.883788
               -0.14,             0.824832
               -0.13,              0.76786
               -0.12,              0.71292
               -0.11,             0.660018
                -0.1,             0.609187
               -0.09,             0.560453
               -0.08,             0.513838
               -0.07,             0.469363
               -0.06,             0.427049
               -0.05,             0.386916
               -0.04,             0.348981
               -0.03,             0.313261
               -0.02,             0.279774
               -0.01,             0.248537
                   0,             0.219573
                0.01,             0.192904
                0.02,             0.168563
                0.03,             0.146594
                0.04,             0.127059
                0.05,             0.110048
                0.06,            0.0956936
                0.07,            0.0841902
                0.08,            0.0758205
                0.09,            0.0709895
                 0.1,            0.0702629
                0.11,            0.0743976
                0.12,            0.0843342
                0.13,             0.101253
                0.14,             0.126458
                0.15,             0.161204
                0.16,             0.206532
                0.17,              0.26314
                0.18,             0.331328
                0.19,             0.411043
                 0.2,             0.501973
                0.21,             0.603655
                0.22,             0.715569
                0.23,              0.83721
                0.24,             0.968118
                0.25,               1.1079
                0.26,              1.25624
                0.27,              1.42658
                0.28,              1.65512
                0.29,              1.88206
                 0.3,              2.11521
                0.31,              2.35672
                0.32,              2.60738
                0.33,               2.8674
                0.34,              3.13658
                0.35,              3.41444
                0.36,              3.70034
                0.37,              3.99344
                0.38,              4.29286
                0.39,              4.59767
                 0.4,              4.90693
                0.41,              5.21977
                0.42,              5.53537
                0.43,                5.853
                0.44,              6.17202
                0.45,              6.49186
                0.46,              6.81205
                0.47,               7.1322
                0.48,              7.45196
                0.49,              7.77107
                 0.5,              8.08929
                0.51,              8.40645
                0.52,              8.72239
                0.53,                9.037
                0.54,              9.35019
                0.55,              9.66188
                0.56,              9.97202
                0.57,              10.2806
                0.58,              10.5875
                0.59,              10.8927
                 0.6,              11.1962
                0.61,              11.4981
                0.62,              11.7982
                0.63,              12.0965
                0.64,               12.393
                0.65,              12.6876
